brand,name,addr,time,atm,medicine,wine,lotto,bakery,delivery
cu,KCC웰츠밸리점,서울특별시 금천구 가산디지털1로 205 케이씨씨웰츠밸리 (가산동) 케이씨씨웰츠밸리,00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,KH가양주유소점,"서울특별시 강서구 강서로 498, (가양동)",00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,KH기쁨주유소점,"경기도 고양시 일산동구 고양대로 1064, (식사동) 1층",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,KH덕소주유소점,"경기도 남양주시 와부읍 경강로 881, GS덕소주유소 (팔당리)",00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,KH동양주유소점,경기도 시흥시 금오로 580 SK동양주유소 (과림동) SK동양주유소,00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,KH미산주유소점,경기도 시흥시 시흥대로 944 SK미산주유소 (미산동) SK미산주유소,00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,KH에너지연천충전소점,경기도 연천군 청산면 평화로 193 연천LPG충전소 (초성리) 연천LPG충전소 1층,00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,KORAIL연수원점,"강원도 양양군 강현면 동해대로 3457, (정암리)",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,KTX강릉역점,강원도 강릉시 용지로 174 (교동),00:00~24:00,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,KTX광명점,"경기도 광명시 신기로17번길 3, 서원빌딩 (일직동) 1층",00:00~00:00,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,KTX서대구광장점,"대구광역시 서구 와룡로 489, (이현동)",00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,KT스마트메디타워점,"대구광역시 중구 동덕로 167, (동인동2가) 1층",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,KT지식센터점,"서울특별시 영등포구 영신로 220, (영등포동8가) 1층 104호",00:00~00:00,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
cu,LG로점,"경기도 파주시 월롱면 엘지로 248, (덕은리) 1층",00:00~24:00,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,M강남역점,"서울특별시 강남구 테헤란로 101, 강남역구내상가 번호(역삼동)",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,M건대입구역점,"서울특별시 광진구 아차산로 243, 구내상가 번호 04 선 건대입구역(화양동) 2층층",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,M구의역점,"서울특별시 광진구 아차산로 384-1, (구의동, 2호선 구의역)",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,M김포공항역점,서울특별시 강서구 하늘길 지하 77 김포공항역 (방화동) 김포공항역,00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,M대림역점,서울특별시 영등포구 대림로 지하 137 대림역,00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,M미아역점,"서울특별시 강북구 도봉로 지하 198, (미아동) B1층 415-105호",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,M사당폰토피아점,서울특별시 동작구 동작대로 지하 3 사당역(4호선) (사당동) 사당역(4호선),00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,M신도림역점,"서울특별시 구로구 새말로 117-21, 구내상가 번호(신도림동)",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,M신촌역점,"서울특별시 마포구 신촌로 90, 구내상가 번호(노고산동)",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,M양재역점,"서울특별시 서초구 남부순환로 2585, 선양재역구내상가 번호08(서초동) 지하1층층",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,M역삼역점,"서울특별시 강남구 테헤란로 156, (역삼동)",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,M잠실롯데타워점,서울특별시 송파구 올림픽로 305 잠실역8호선 -1층 E호,00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,M잠실역점,"서울특별시 송파구 올림픽로 265, 서울메트로 2호선 잠실역(잠실동) 1층 216동 02호",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,M종합운동장역점,"서울특별시 송파구 올림픽로 23, 서울메트로 2호선(잠실동) 지하층 218동 02호",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,M충무로역점,"서울특별시 중구 퇴계로 지하 199, 충무로역3 423동 4호 선 109호(필동2가)",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
