id,name,price,img,event,brand,category
21,데미소다)자몽캔250ml,"1,200원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801097168701_20200729151621.png,1+1,이마트24,음료
22,데미소다)청포도250ml,"1,200원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801097168800_20200729151621.png,1+1,이마트24,음료
23,동화)벡셀드링크250ml,"1,200원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8806016117518_20200729151622.png,1+1,이마트24,음료
24,미닛)스파클링복숭아345ml,"1,200원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801094732202_20200729151621.png,1+1,이마트24,음료
25,미닛)스파클링사과345ml,"1,200원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801094793104_20200729151621.png,1+1,이마트24,음료
26,미닛)스파클링청포도345ml,"1,200원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801094783105_20200729151621.png,1+1,이마트24,음료
27,오란씨)오렌지캔250ml,"1,200원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801097134416_20200729151621.png,1+1,이마트24,음료
28,오란씨)파인캔250ml,"1,200원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801097134218_20200729151621.png,1+1,이마트24,음료
29,츄파춥스)딸기크림345ml,"1,200원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801069402451_20200729151621.png,1+1,이마트24,음료
30,쥬맥스)이프리치드링크350ml,"1,300원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8859015700946_20200729151623.png,1+1,이마트24,음료
31,쥬맥스)이프청포도드링크350ml,"1,300원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8859015700434_20200729151623.png,1+1,이마트24,음료
32,코카)암바사캔345ml,"1,300원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801094253103_20200729151621.png,1+1,이마트24,음료
33,롯데)게토레이캔340ml,"1,400원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801056043131_20200729151620.png,1+1,이마트24,음료
34,롯데)마운틴듀캔330ml,"1,400원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801056716011_20200729151620.png,1+1,이마트24,음료
